label,message
ham,"Hey, how are you doing?"
spam,Congratulations! You won a free prize! Click here to claim.
ham,Meeting at 3pm tomorrow
spam,URGENT: Your account has been compromised. Click to verify.
ham,Don't forget to pick up groceries
spam,FREE money! Limited time offer. Call now!
ham,See you at the party tonight
spam,You've been selected for a special offer. Click here.
ham,Thanks for your help yesterday
spam,WINNER! You have won $1000. Claim now!
ham,Can we reschedule our meeting?
spam,"Dear Sir, You have won a lottery of 1 million dollars."
ham,I'll be there in 10 minutes
spam,Claim your free gift now! Limited time only.
ham,How was your weekend?
spam,Congratulations! You are our lucky winner. Click here.
ham,Please review the attached document
spam,URGENT: Your account will be suspended. Click to reactivate.
ham,Let's catch up over coffee
spam,FREE offer just for you! Don't miss out.
